Title,Bugtraq_ID,Credit,Published,CVE,Vulnerable
Artifex MuPDF CVE-2018-6187 Heap Based Buffer Overflow Vulnerability,102823,Young_X,Jan 24 2018 12:00AM,CVE-2018-6187,Artifex Mupdf 1.12
Linux Kernel 'crypto/pcrypt.c' Local Denial of Service Vulnerability,102813,The vendor reported the issue.,Jan 24 2018 12:00AM,CVE-2017-18075,Linux kernel 4.14.11
cURL/libcURL CVE-2017-8817 Memory Corruption Vulnerability,102057,Adam MariÅ¡,Nov 29 2017 12:00AM,CVE-2017-8817,Haxx Libcurl 7.56.1
Apache NiFi CVE-2016-8748 Cross Site Scripting Vulnerability,95621,Matt Gilman,Jan 16 2017 12:00AM,"CVE-2106-8748
				
					CVE-2016-8748",Apache Nifi 1.1
libming 'util/outputscript.c' Null Pointer Dereference Denial of Service Vulnerability,102828,gy741,Jan 25 2018 12:00AM,CVE-2018-6315,libming libming 0.4.8
Artifex MuJS CVE-2018-6191 Integer Overflow Vulnerability,102840,The vendor reported this issue.,Jan 24 2018 12:00AM,CVE-2018-6191,Artifex MuJS 1.0.2
Jenkins Active Choices Plugin HTML Injection Vulnerability,101538,Daniel Beck from CloudBees Inc.,Oct 23 2017 12:00AM,CVE-2017-1000386,Jenkins-Ci Active Choices Plugin  1.5.3
Jenkins Build Publisher Plugin Information Disclosure Vulnerability,101544,Steve Marlowe <smarlowe@cisco.com> of Cisco ASIG,Oct 23 2017 12:00AM,CVE-2017-1000387,Jenkins-Ci Build Publisher Plugin  1.20
GNU Binutils CVE-2018-6323 Integer Overflow Vulnerability,102821,Ruikai Liu,Jan 26 2018 12:00AM,CVE-2018-6323,GNU Binutils 2.29.1
Jenkins Multijob Plugin CVE-2017-1000390 Security Bypass Vulnerability,102824,Lars Hupel,Jan 29 2018 12:00AM,CVE-2017-1000390,Jenkins-Ci Multijob Plugin  1.25
Siemens TeleControl Server Basic CVE-2018-4837 Denial of Service Vulnerability,102819,The vendor reported this issue.,Jan 25 2018 12:00AM,CVE-2018-4837,Siemens TeleControl Server Basic  3.0 SP2
Lenovo Fingerprint Manager Pro CVE-2017-3762 Multiple Local Security Weaknesses,102837,Jackson Thuraisamy from Security Compass,Jan 25 2018 12:00AM,CVE-2017-3762,Lenovo ThinkStation P900  0
Microsoft .NET Framework CVE-2018-0764 Remote Denial of Service Vulnerability,102387,Microsoft,Jan 09 2018 12:00AM,CVE-2018-0764,Microsoft Windows Server 2012 R2  0
RETIRED: Jenkins CVE-2017-1000392 HTML Injection Vulnerability,102826,Viktor Gazdag of NCC Group,Nov 08 2017 12:00AM,,Jenkins-Ci Jenkins LTS 2.73.2
Jenkins Multiple Security Vulnerabilities,101773,Darren Zhao and Viktor Gazdag of NCC Group,Nov 08 2017 12:00AM,"CVE-2017-1000392
				
					CVE-2017-1000391",Jenkins-Ci Jenkins LTS 2.73.2
OpenSSL CVE-2017-3737 Security Bypass Vulnerability,102103,David Benjamin.,Dec 07 2017 12:00AM,CVE-2017-3737,Oracle MySQL Server 5.7.20
Multiple CPU Hardwares CVE-2017-5754 Information Disclosure Vulnerability,102378,"Jann Horn (Google Project Zero), Werner Haas, Thomas Prescher (Cyberus Technology),
Daniel Gruss, Moritz Lipp, Stefan Mangard, Michael Schwarz (Graz University of Technology)",Jan 03 2018 12:00AM,,Xen Xen  0
Microsoft Office for MAC CVE-2018-0819 Spoofing Vulnerability,102464,Sabri Haddouche (@pwnsdx) of Wire Swiss GmbH,Jan 09 2018 12:00AM,CVE-2018-0819,Microsoft Office 2016 for Mac  0
Mozilla Firefox CVE-2018-5124 Arbitrary Code Execution Vulnerability,102843,Johann Hofmann,Jan 29 2018 12:00AM,CVE-2018-5124,Mozilla Firefox 53.0.2
Microsoft Word CVE-2018-0794 Remote Code Execution Vulnerability,102373,Nicolas Joly of Microsoft Corporation,Jan 09 2018 12:00AM,CVE-2018-0794,Microsoft Word 2016 (64-bit edition)  0
Microsoft Office CVE-2018-0862 Memory Corruption Vulnerability,102749,Yuki Chen of Qihoo 360 Vulcan Team,Jan 19 2018 12:00AM,CVE-2018-0862,Microsoft Word 2016 (64-bit edition)  0
Dnsmasq CVE-2017-15107 Security Bypass Vulnerability,102812,Ralph Dolmans,Jan 19 2018 12:00AM,CVE-2017-15107,Dnsmasq Dnsmasq  2.78
Microsoft Outlook CVE-2018-0793 Remote Code Execution Vulnerability,102375,Nicolas Joly of Microsoft Corporation.,Jan 09 2018 12:00AM,CVE-2018-0793,Microsoft Word 2016 (64-bit edition)  0
Unbound CVE-2017-15105 Security Bypass Vulnerability,102817,Ralph Dolmans and Karst Koymans,Jan 19 2018 12:00AM,CVE-2017-15105,Unbound Unbound 1.6.7
WordPress MediaElement Cross Site Scripting Vulnerability,102730,Enguerran Gillier and Widiz.,Jan 16 2018 12:00AM,,WordPress WordPress 4.9.1
QEMU CVE-2017-18043 Local Denial of Service Vulnerability,102759,Eric Blake of Red Hat.,Jan 19 2018 12:00AM,CVE-2017-18043,Redhat OpenStack Platform  9.0
Moodle CVE-2018-1042 Server Side Request Forgery Security Bypass Vulnerability,102752,Thomas DeVoss,Jan 22 2018 12:00AM,CVE-2018-1042,Moodle Moodle 3.3.3
Moodle CVE-2018-1044 Unauthorized Access Vulnerability,102754,Chirine Nassar,Jan 22 2018 12:00AM,CVE-2018-1044,Moodle Moodle 3.3.3
Moodle CVE-2018-1045 Cross Site Scripting Vulnerability,102755,Rubens Brandao,Jan 22 2018 12:00AM,CVE-2018-1045,Moodle Moodle 3.3.3
OpenSSH CVE-2016-10708 Multiple Denial of Service Vulnerabilities,102780,The vendor reported this issue.,Jan 21 2018 12:00AM,CVE-2016-10708,OpenSSH OpenSSH 4.2
IBM Business Process Manager CVE-2017-1769 Cross Site Request Forgery Vulnerability,102777,The vendor reported this issue.,Jan 22 2018 12:00AM,CVE-2017-1769,IBM Business Process Manager  8.6.0.0
Jenkins Global Build Stats Plugin Multiple Security Vulnerabilities,101539,Eddie Allan,Oct 23 2017 12:00AM,,Jenkins-Ci Global Build Stats Plugin  1.3
Red Hat '389-ds-base' CVE-2017-15134 Remote Denial of Service Vulnerability,102790,unknown,Jan 22 2018 12:00AM,CVE-2017-15134,Redhat Enterprise Linux Desktop  7
Moodle CVE-2018-1043 Security Bypass Vulnerability,102769,Jordan Tomkinson,Jan 22 2018 12:00AM,CVE-2018-1043,Moodle Moodle 3.3.3
Fortinet FortiOS CVE-2017-14190 HTML Injection Vulnerability,102779,"Dhiraj Shrikant Datar, Paramount Computer Systems FZ LLC",Jan 22 2018 12:00AM,CVE-2017-14190,Fortinet Fortios 5.6.2
Red Hat '389-ds-base' CVE-2017-15135 Authentication Bypass Vulnerability,102811,Martin Poole,Jan 22 2018 12:00AM,CVE-2017-15135,Redhat Enterprise Linux  7
Jenkins Translation Assistance Plugin CVE-2018-1000014 Cross Site Request Forgery Vulnerability,102809,"Oleg Nenashev, CloudBees, Inc",Jan 22 2018 12:00AM,CVE-2018-1000014,Jenkins-Ci Translation Assistance Plugin  1.15
Electron CVE-2018-1000006 Remote Code Execution Vulnerability,102796,The vendor reported this issue.,Jan 22 2018 12:00AM,CVE-2018-1000006,Slack Slack 3.0.2
Cisco Policy Suite CVE-2018-0089 Information Disclosure Vulnerability,102758,The vendor reported this issue.,Jan 23 2018 12:00AM,CVE-2018-0089,Cisco Policy Suite Software  0
Blizzard Update Agent Arbitrary Code Execution Vulnerability,102770,Tavis Ormandy,Jan 23 2018 12:00AM,,Blizzard Entertainment Update Agent  0
EMC RSA Authentication Manager CVE-2017-15546 SQL Injection Vulnerability,102838,The vendor reported this issue.,Jan 22 2018 12:00AM,CVE-2017-15546,EMC RSA Authentication Manager  8.2 SP1 Patch 6
Jenkins Release Plugin CVE-2018-1000013 Cross Site Request Forgery Vulnerability,102834,"Jesse Glick, CloudBees, Inc.",Jan 22 2018 12:00AM,CVE-2018-1000013,Jenkins-Ci Release Plugin  2.9
Oracle Java SE CVE-2018-2627	 Local Security Vulnerability,102584,Oracle,Jan 16 2018 12:00AM,CVE-2018-2627,Oracle JRE(Windows Production Release) 9.0.1
Apple iOS/tvOS/watchOS Memory Corruption Vulnerabilities,102774,Rani Idan (@raniXCH) of Zimperium zLabs Team,Jan 23 2018 12:00AM,"CVE-2018-4087
				
					CVE-2018-4095",Apple watchOS 10.1.1
Symantec Reporter CVE-2017-15531 Authentication Bypass Vulnerability,102751,Dhiraj Mishra,Jan 23 2018 12:00AM,CVE-2017-15531,Symantec Reporter  9.5.3.5
rsync 'options.c' Security Bypass Vulnerability,102803,Jeriko One,Jan 17 2018 12:00AM,CVE-2018-5764,rsync rsync 3.1.2
Multiple Siemens SIMATIC WinCC Add-On Products Multiple Security Vulnerabilities,102739,Sergey Temnikov and Vladimir Dashchenko from Kaspersky Lab,Jan 18 2018 12:00AM,"CVE-2017-11496
				
					CVE-2017-11497
				
					CVE-2017-11498",Siemens SIMATIC WinCC Add-On SIPAPER IT MIS  7.0
Spring Framework CVE-2016-9878 Directory Traversal Vulnerability,95072,NTT Data.,Dec 21 2016 12:00AM,CVE-2016-9878,SpringSource Spring Framework 4.3.4
Oracle Java SE CVE-2018-2602 Local Security Vulnerability,102642,Oracle,Jan 16 2018 12:00AM,CVE-2018-2602,Oracle JRE(Windows Production Release) 9.0.1
Atlassian JIRA 'Jira-importers-plugin' Multiple Cross Site Request Forgery Vulnerabilities,102744,The vendor reported these issues.,Jan 18 2018 12:00AM,CVE-2017-18033,Atlassian JIRA 5.0.1  0
Mozilla Firefox ESR CVE-2018-5096 Use After Free Denial of Service Vulnerability,102771,Nils,Jan 23 2018 12:00AM,CVE-2018-5096,Mozilla Firefox ESR 52.1.1
Apache Log4j CVE-2017-5645 Remote Code Execution Vulnerability,97702,Marcio Almeida de Macedo of Red Team at Telstra.,Apr 17 2017 12:00AM,CVE-2017-5645,Redhat JBoss Web Server  3.1 for RHEL 7
Exiv2 'image.cpp' Remote Denial of Service Vulnerability,102789,ProbeFuzzer,Jan 18 2018 12:00AM,CVE-2018-5772,Exiv2 Exiv2  0.26
JQuery CVE-2012-6708 Cross Site Scripting Vulnerability,102792,gibson042,Jan 18 2018 12:00AM,CVE-2012-6708,jQuery jQuery 1.6.3
Apache Groovy CVE-2015-3253 Remote Code Execution Vulnerability,75919,cpnrodzc7 working with HP's Zero Day Initiative,Jul 16 2015 12:00AM,CVE-2015-3253,Oracle WebCenter Sites 11.1.1 8.0
Apple iOS/WatchOS/macOS CVE-2018-4100 Denial of Service Vulnerability,102772,Abraham Masri (@cheesecakeufo),Jan 23 2018 12:00AM,CVE-2018-4100,Apple watchOS 10.1.1
Atlassian JIRA CVE-2017-16863 Cross Site Scripting Vulnerabiliy,102732,The vendor reported this issue.,Jan 18 2018 12:00AM,CVE-2017-16863,Atlassian JIRA 5.0.1  0
PHP CVE-2016-5385 Security Bypass Vulnerability,91821,Scott Geary (VendHQ),Jul 18 2016 12:00AM,CVE-2016-5385,Typo3 Typo3 8.2
Apache Tomcat CVE-2017-12617 Incomplete Fix Remote Code Execution Vulnerability,100954,The vendor reported this issue.,Sep 21 2017 12:00AM,CVE-2017-12617,Redhat JBoss Web Server (JWS)  3.0
OpenSSL CVE-2017-3736 Information Disclosure Vulnerability,101666,OSS-Fuzz,Nov 02 2017 12:00AM,CVE-2017-3736,Redhat JBoss EWS  2
OpenSSL CVE-2017-3735 Security Bypass Vulnerability,100515,Google's OSS-Fuzz project,Aug 28 2017 12:00AM,CVE-2017-3735,Redhat RHEV-M for Servers  0
SSL/TLS RC4 CVE-2013-2566 Information Disclosure Weakness,58796,"Apurba Das, Subhamoy Maitra, Goutam Paul, Santanu Sarkar",Mar 12 2013 12:00AM,CVE-2013-2566,Ubuntu Ubuntu Linux  13.10
Mozilla Network Security Services CVE-2017-5461 Memory Corruption Vulnerability,98050,Ronald Crane,Apr 05 2017 12:00AM,CVE-2017-5461,Redhat Enterprise Linux Workstation  7
 Multiple RedHat JBoss Products CVE-2015-7501 Remote Code Execution Vulnerability,78215,foxglovesecurity,Nov 06 2015 12:00AM,CVE-2015-7501,Redhat Software Collections for RHEL  0
Oracle WebLogic Server CVE-2017-10352 Remote Security Vulnerability,102442,Devin Rosenbauer of Identity Works LLC and loopx9.,Oct 17 2017 12:00AM,CVE-2017-10352,Oracle Weblogic Server 10.3.6 0
OpenSSL Padding Oracle Incomplete Fix Information Disclosure Vulnerability,89760,Juraj Somorovsky,May 03 2016 12:00AM,CVE-2016-2107,SuSE openSUSE Evergreen  11.4
Apache HTTP Server CVE-2017-9798 Information Disclosure Vulnerability,100872,Hanno BÃ¶ck,Sep 18 2017 12:00AM,CVE-2017-9798,Redhat Software Collections for RHEL  0
libvirt 'qemu/qemu_monitor.c' Local Denial of Service Vulnerability,102825,Daniel P. Berrange and Peter Krempa,Jan 16 2018 12:00AM,CVE-2018-5748,libvirt libvirt  0
OpenDaylight OpenFlow Plugin and Controller Multiple Denial of Service Vulnerabilities,102736,Vaibhav Hemant Dixit,Jan 16 2018 12:00AM,CVE-2017-1000411,Redhat OpenStack Platform  9.0
PHP CVE-2018-5712 Cross Site Scripting Vulnerability,102742,passownz,Jan 16 2018 12:00AM,CVE-2018-5712,PHP PHP 7.2
Oracle WebLogic Server CVE-2017-10271 Remote Security Vulnerability,101304,Alexey Tyurin of ERPScan and Federico Dotta of Media Service,Oct 17 2017 12:00AM,CVE-2017-10271,Oracle Weblogic Server 10.3.6 0
Cisco WebEx Meetings Server CVE-2018-0108 XML External Entity Information Disclosure Vulnerability,102720,Adam Willard of Blue Canopy,Jan 17 2018 12:00AM,CVE-2018-0108,Cisco WebEx Meetings Server  2.6
Cisco WebEx Meetings Server CVE-2018-0109 Information Disclosure Vulnerability,102722,Cisco,Jan 17 2018 12:00AM,CVE-2018-0109,Cisco WebEx Meetings Server  3.0
Cisco WebEx Meetings Server CVE-2018-0111 Information Disclosure Vulnerability,102723,Cisco,Jan 17 2018 12:00AM,CVE-2018-0111,Cisco WebEx Meetings Server  3.0
Cisco Prime Infrastructure CVE-2018-0097 Open Redirection Vulnerability,102724,Cisco,Jan 17 2018 12:00AM,CVE-2018-0097,Cisco Prime Infrastructure  3.1(5.0)
Cisco Prime Infrastructure CVE-2018-0096 Privilege Escalation Vulnerability,102727,Cisco,Jan 17 2018 12:00AM,CVE-2018-0096,Cisco Prime Infrastructure  3.3(0.0)
Cisco NX-OS Software CVE-2018-0102 Denial of Service Vulnerability,102728,Cisco,Jan 17 2018 12:00AM,CVE-2018-0102,Cisco NX-OS  7.2(2)D1(2)
Cisco Email Security and Content Security Management Local Privilege Escalation Vulnerability,102729,The vendor reported this issue.,Jan 17 2018 12:00AM,CVE-2018-0095,Cisco Email Security Appliance  9.7.1-066
Libav CVE-2018-5766 Denial of Service Vulnerability,102793,The vendor reported this issue.,Jan 18 2018 12:00AM,CVE-2018-5766,Libav Libav  12.2
Cisco Web Security Appliance CVE-2018-0093 Cross Site Scripting Vulnerability,102735,Cisco,Jan 17 2018 12:00AM,CVE-2018-0093,Cisco Web Security Appliance  10.5.1-284
Cisco AnyConnect Profile Editor CVE-2018-0100 Local XML External Entity Injection Vulnerability,102738,Alain Homewood of Insomnia Security,Jan 17 2018 12:00AM,CVE-2018-0100,Cisco AnyConnect VPN Client Software  0
Apache Struts CVE-2016-1182 Security Bypass Vulnerability,91067,The vendor reported this issue.,Jun 07 2016 12:00AM,CVE-2016-1182,Oracle Weblogic Server 10.3.6 0
Oracle VM VirtualBox CVE-2018-2694 Local Security Vulnerability,102687,Niklas Baumstark,Jan 16 2018 12:00AM,CVE-2018-2694,Oracle VM VirtualBox 5.2.4
Kibana Colored Fields Formatter Cross Site Scripting Vulnerability,102734,The vendor reported this issue.,Jan 16 2018 12:00AM,CVE-2018-3818,Elasticsearch Kibana 6.1.1
Oracle VM VirtualBox CVE-2018-2698 Local Security Vulnerability,102688,Niklas Baumstark via Beyond Security's SecuriTeam Secure Disclosure program,Jan 16 2018 12:00AM,CVE-2018-2698,Oracle VM VirtualBox 5.2.4
Oracle VM VirtualBox CVE-2018-2685 Local Security Vulnerability,102689,Vasily Vasiliev of Trend Micro's Zero Day Initiative,Jan 16 2018 12:00AM,CVE-2018-2685,Oracle VM VirtualBox 5.2.4
Oracle VM VirtualBox CVE-2018-2686 Local Security Vulnerability,102690,Vasily Vasiliev of Trend Micro's Zero Day Initiative,Jan 16 2018 12:00AM,CVE-2018-2686,Oracle VM VirtualBox 5.2.4
Oracle VM VirtualBox CVE-2018-2687 Local Security Vulnerability,102691,Vasily Vasiliev of Trend Micro's Zero Day Initiative,Jan 16 2018 12:00AM,CVE-2018-2687,Oracle VM VirtualBox 5.2.4
Oracle VM VirtualBox CVE-2018-2688 Local Security Vulnerability,102692,Vasily Vasiliev of Trend Micro's Zero Day Initiative,Jan 16 2018 12:00AM,CVE-2018-2688,Oracle VM VirtualBox 5.2.4
Oracle VM VirtualBox CVE-2018-2689 Local Security Vulnerability,102693,Vasily Vasiliev of Trend Micro's Zero Day Initiative,Jan 16 2018 12:00AM,CVE-2018-2689,Oracle VM VirtualBox 5.2.4
Oracle VM VirtualBox CVE-2018-2690 Local Security Vulnerability,102694,Vasily Vasiliev of Trend Micro's Zero Day Initiative,Jan 16 2018 12:00AM,CVE-2018-2690,Oracle VM VirtualBox 5.2.4
Oracle MySQL Server CVE-2018-2576 Remote Security Vulnerability,102695,Oracle,Jan 16 2018 12:00AM,CVE-2018-2576,Oracle MySQL Server 5.7.20
Oracle MySQL Server CVE-2018-2590 Remote Security Vulnerability,102697,Oracle,Jan 16 2018 12:00AM,CVE-2018-2590,Oracle MySQL Server 5.7.20
Oracle MySQL Server CVE-2018-2645 Remote Security Vulnerability,102698,Oracle,Jan 16 2018 12:00AM,CVE-2018-2645,Oracle MySQL Server 5.7.20
Oracle MySQL Server CVE-2018-2586 Remote Security Vulnerability,102700,Oracle,Jan 16 2018 12:00AM,CVE-2018-2586,Oracle MySQL Server 5.7.20
Multiple Cisco Small Business Switches CVE-2017-12307 Multiple Cross Site Scripting Vulnerabilities,102718,Nicholas Lim,Jan 17 2018 12:00AM,CVE-2017-12307,Cisco Small Business 500 Series Stackable Managed Switch  0
Linux Kernel CVE-2017-1000405 Local Race Condition Vulnerability,102032,Eylon Ben Yaakov and Daniel Shapiro.,Nov 30 2017 12:00AM,CVE-2017-1000405,McAfee Web Gateway 7.7
Oracle Financial Services Liquidity Risk Management CVE-2018-2682 Remote Security Vulnerability,102657,Oracle,Jan 16 2018 12:00AM,CVE-2018-2682,Oracle Financial Services Liquidity Risk Management 8.0.4
Oracle Java SE and JRockit CVE-2018-2678 Remote Security Vulnerability,102659,Oracle,Jan 16 2018 12:00AM,CVE-2018-2678,Oracle JRockit  R28.3.16
Cisco Prime Service Catalog CVE-2018-0107 Cross Site Request Forgery Vulnerability,102719,Cisco,Jan 17 2018 12:00AM,CVE-2018-0107,Cisco Prime Service Catalog  12.1
Oracle Financial Services Loan Loss Forecasting and Provisioning Remote Security Vulnerability,102660,Oracle,Jan 16 2018 12:00AM,CVE-2018-2712,Oracle Financial Services Loan Loss Forecasting and Provisioning 8.0.5
Oracle Java SE and JRockit CVE-2018-2588 Remote Security Vulnerability,102661,Oracle,Jan 16 2018 12:00AM,CVE-2018-2588,Oracle JRockit  R28.3.16
Oracle Java SE and JRockit CVE-2018-2663 Remote Security Vulnerability,102662,Oracle,Jan 16 2018 12:00AM,CVE-2018-2663,Oracle JRockit  R28.3.16
Cisco D9800 Network Transport Receiver CVE-2018-0099 Remote Command Injection Vulnerability,102731,Brian Sullivan from Tekmark Global Solutions,Jan 17 2018 12:00AM,CVE-2018-0099,Cisco Digital Receivers/Decoders  T2.75D1
Oracle Financial Services Market Risk CVE-2018-2726 Remote Security Vulnerability,102664,Oracle,Jan 16 2018 12:00AM,CVE-2018-2726,Oracle Financial Services Market Risk 8.0
Oracle Financial Services Market Risk CVE-2018-2714 Remote Security Vulnerability,102666,Oracle,Jan 16 2018 12:00AM,CVE-2018-2714,Oracle Financial Services Market Risk 8.0
Oracle Financial Services Market Risk Measurement and Management  Remote Security Vulnerability,102667,Oracle,Jan 16 2018 12:00AM,CVE-2018-2727,Oracle Financial Services Market Risk Measurement and Management 8.0.5
Oracle VM VirtualBox CVE-2018-2676 Local Security Vulnerability,102699,Reno Robert,Jan 16 2018 12:00AM,CVE-2018-2676,Oracle VM VirtualBox 5.2.4
Oracle FLEXCUBE Direct Banking CVE-2018-2674	Remote Security Vulnerability,102686,Mohammed Nazim Rafiq,Jan 16 2018 12:00AM,CVE-2018-2674,Oracle FLEXCUBE Direct Banking  12.0.3
Oracle Java SE and JRockit CVE-2018-2603 Remote Security Vulnerability,102625,Oracle,Jan 16 2018 12:00AM,CVE-2018-2603,Oracle JRockit  R28.3.16
Oracle MySQL Server CVE-2018-2600	Remote Security Vulnerability,102696,Oracle,Jan 16 2018 12:00AM,CVE-2018-2600,Oracle MySQL Server 5.7.20
Oracle Financial Services Balance Sheet Planning CVE-2018-2592 Remote Security Vulnerability,102626,Oracle,Jan 16 2018 12:00AM,CVE-2018-2592,Oracle Financial Services Balance Sheet Planning 8.0
Oracle Transportation Management CVE-2018-2631 Remote Security Vulnerability,102628,Sebastian Braun of NTT Security.,Jan 16 2018 12:00AM,CVE-2018-2631,Oracle Transportation Management 6.4.2
Oracle Java SE and JRockit CVE-2018-2657 Remote Security Vulnerability,102629,Oracle,Jan 16 2018 12:00AM,CVE-2018-2657,Oracle JRockit  R28.3.16
Oracle Siebel CRM CVE-2018-2632 Remote Security Vulnerability,102631,Oracle,Jan 16 2018 12:00AM,CVE-2018-2632,Oracle Siebel Crm  17.0
Multiple Oracle Products CVE-2017-9072 Remote Security Vulnerability,102632,Oracle,Jan 16 2018 12:00AM,CVE-2017-9072,Oracle Health Sciences Empirica Signal  8.0.1.0
Oracle Java SE CVE-2018-2634 Remote Security Vulnerability,102592,Oracle,Jan 16 2018 12:00AM,CVE-2018-2634,Oracle JRE(Windows Production Release) 9.0.1
Oracle Communications Unified Inventory Management CVE-2018-2570 Remote Security Vulnerability,102665,Spyridon Chatzimichail of OTE Hellenic Telecommunications Organization S.A.,Jan 16 2018 12:00AM,CVE-2018-2570,Oracle Communications Unified Inventory Management  7.3
Oracle FLEXCUBE Universal Banking CVE-2018-2630 Remote Security Vulnerability,102593,Oracle,Jan 16 2018 12:00AM,CVE-2018-2630,Oracle FLEXCUBE Universal Banking 11.7
Oracle Sun ZFS Storage Appliance Kit CVE-2018-2664 Remote Security Vulnerability,102594,Oracle,Jan 16 2018 12:00AM,CVE-2018-2664,Oracle Sun ZFS Storage Appliance Kit (AK)  0
Oracle Sun ZFS Storage Appliance Kit CVE-2018-2624 Remote Security Vulnerability,102595,Oracle,Jan 16 2018 12:00AM,CVE-2018-2624,Oracle Sun ZFS Storage Appliance Kit (AK)  0
Oracle Transportation Management CVE-2018-2662 Remote Security Vulnerability,102624,Sebastian Braun of NTT Security.,Jan 16 2018 12:00AM,CVE-2018-2662,Oracle Transportation Management 6.4.2
