Impact,vendor,CVE_Numbers,Vulnerabilities,field_items,Legal_Notice,summary,Equipment,Affected_Products,published_date,id
"The following versions of NPort, a serial network interface, are affected:",Remotely exploitable/low skill level to exploit.,CVE-2017-16727, NPort W2150A and W2250A,CVSS v3 6.5,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Moxa NPort W2150A and W2250A, Moxa, Credentials Management,"December 21, 2017",ICSA-17-355-01
Schneider Electric reports that the vulnerabilities affect the following Pelco VideoXpert Enterprise products:,Remotely exploitable/low skill level to exploit.,"CVE-2017-9964,CVE-2017-9965,CVE-2017-9966", Pelco VideoXpert Enterprise,CVSS v3 7.1,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Schneider Electric Pelco VideoXpert Enterprise, Schneider Electric," Path Traversal, Improper Access Control","December 21, 2017",ICSA-17-355-02
"This updated advisory is a follow-up to the original advisory titled ICSA-18-004-02 Advantech WebAccess that was published January 4, 2018, on the NCCIC/ICS-CERT web site.",Remotely exploitable/low skill level to exploit.,"CVE-2017-16728,CVE-2017-16724,CVE-2017-16720,CVE-2017-16716,CVE-2017-16753,CVE-2017-16736,CVE-2017-16732", WebAccess,CVSS v3 8.2,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Advantech WebAccess (Update A), Advantech," Untrusted Pointer Dereference, Stack-based Buffer Overflow, Path Traversal, SQL Injection, Improper Input Validation.","January 04, 2018 | Last revised: January 11, 2018",ICSA-18-004-02A
ABB reports that the vulnerability affects Ellipse 8.3 through Ellipse 8.9 released prior to December 2017 (including Ellipse Select).,Remotely exploitable/low skill level to exploit.,CVE-2017-16731, Ellipse,CVSS v3 6.5,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",ABB Ellipse, ABB, Unprotected Transport of Credentials,"December 19, 2017",ICSA-17-353-01
"The following versions of Delta Industrial Automation Screen Editor, a graphical user interface (GUI), are affected:",Low skill level to exploit.,"CVE-2017-16751,CVE-2017-16749,CVE-2017-16747,CVE-2017-16745", Delta Industrial Automation Screen Editor,CVSS v3 5.5,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Delta Electronics Delta Industrial Automation Screen Editor," Delta Electronics, Incorporated (Delta Electronics)"," Stack-based Buffer Overflow, Use-after-Free, Out-of-bounds Write, Type Confusion","January 04, 2018 | Last revised: January 05, 2018",ICSA-18-004-01
"All FL SWITCH 3xxx, 4xxx, and 48xxx Series products running firmware Version 1.0 to 1.32 are affected.",Remotely exploitable/low skill level to exploit.,"CVE-2017-16743,CVE-2017-16741", FL SWITCH,CVSS v3 9.8,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",PHOENIX CONTACT FL SWITCH, PHOENIX CONTACT," Improper Authorization, Information Exposure","January 11, 2018",ICSA-18-011-03
"This advisory was originally posted to the NCCIC Portal on August 22, 2017, and is being released to the ICS-CERT web site.",Remotely exploitable/low skill level to exploit.,"CVE-2017-9663,CVE-2017-12697,CVE-2017-12695", SOS iOS Client,CVSS v3 9.8,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",General Motors and Shanghai OnStar (SOS) iOS Client, General Motors (GM)," Cleartext Storage of Sensitive Information, Man-in-the-Middle, Improper Authentication","January 09, 2018",ICSA-17-234-04
"The following versions of LEVI Studio HMI Editor, an HMI programming software product, are affected:",Locally exploitable/low skill level to exploit.,"CVE-2017-16739,CVE-2017-16737",LeviStudio HMI Editor,CVSS v3 5.3,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.","WECON Technology Co., Ltd. LeviStudio HMI Editor"," WECON Technology Co., Ltd. (WECON)", Buffer Overflows,"January 11, 2018 | Last revised: January 18, 2018",ICSA-18-011-01
Siemens reports that the vulnerabilities affect the following versions of SIMATIC WinCC Add-On:,Remotely exploitable/low skill level to exploit.,"CVE-2017-11496,CVE-2017-11497,CVE-2017-11498",SIMATIC WinCC Add-On,CVSS v3 9.8,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Siemens SIMATIC WinCC Add-On,Siemens,"Stack-Based Buffer Overflow, Input Validation.","January 18, 2018",ICSA-18-018-01
"The following versions of MXview, network management software, are affected:",Low skill level to exploit.,CVE-2017-14030,MXview,CVSS v3 7.8,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Moxa MXview, Moxa, Unquoted Search Path or Element.,"January 11, 2018",ICSA-18-011-02
"The following versions of MicroLogix 1400 Controllers, a PLC, are affected:",Remotely exploitable/low skill level to exploit.,CVE-2017-16740, Allen-Bradley MicroLogix 1400 Controllers,CVSS v3 8.6,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Rockwell Automation Allen-Bradley MicroLogix 1400 Controllers, Rockwell Automation, Buffer Overflow,"January 09, 2018",ICSA-18-009-01
Siemens reports that this vulnerability affects the following products using PROFINET DCP:,Remotely exploitable/low skill level to exploit.,CVE-2017-2680, Industrial Products,CVSS v3 6.5,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Siemens Industrial Products, Siemens, Improper Input Validation,"January 23, 2018",ICSA-18-023-02
"The following versions of WebAccess/SCADA, a SCADA software platform, are affected:",Remotely exploitable/low skill level to exploit.,"CVE-2018-5445,CVE-2018-5443",WebAccess/SCADA,CVSS v3 5.3,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Advantech WebAccess/SCADA,Advantech,"Path Traversal, SQL Injection","January 23, 2018",ICSA-18-023-01
Siemens reports that the vulnerability affects the following versions of Desigo PXC:,Remotely exploitable/low skill level to exploit.,CVE-2018-4834,Desigo PXC,CVSS v3 9.8,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Siemens Desigo PXC,Siemens,Improper Authentication,"January 25, 2018",ICSA-18-025-02
"Philips is a global company that maintains offices in many countries around the world, including countries in Africa, Asia, Europe, Latin America, the Middle East, and North America.",Philips reported an insufficient session expiration vulnerability in the Philips’ IntelliSpace Cardiovascular cardiac image and information management systems. Philips is creating a software update to mitigate this vulnerability in the affected products.,CVE-2018-5438,Successful exploitation of this vulnerability could allow an attacker to gain unauthorized access to sensitive information stored on the system and modify this information.,,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Philips IntelliSpace Cardiovascular System Vulnerability,Philips reports that the vulnerability affects the following versions of the IntelliSpace Cardiovascular:,Impact to individual organizations depends on many factors that are unique to each organization. NCCIC recommends that organizations evaluate the impact of this vulnerability based on their operational environment and specific clinical usage. ,"January 25, 2018",ICSMA-18-025-01
Siemens reports that the vulnerabilities affect the following BACnet field panels:,Remotely exploitable/low skill level to exploit.,"CVE-2017-9946,CVE-2017-9947", BACnet Field Panels,CVSS v3 7.5,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Siemens BACnet Field Panels, Siemens," Authentication Bypass Using an Alternate Path or Channel, Path Traversal","October 12, 2017",ICSA-17-285-05
"The following versions of EnviDAS Ultimate, a web application for environmental monitoring, are affected:",Remotely exploitable/low skill level to exploit.,CVE-2017-9625, EnviDAS Ultimate,CVSS v3 8.2,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Envitech Ltd. EnviDAS Ultimate, Envitech Ltd., Improper Authentication,"October 12, 2017",ICSA-17-285-03
"The following versions of MQX Real-Time Operating System (RTOS) are used in NXP’s ColdFire microcontrollers, Kinetis microcontrollers, i.MX processors, and Vybrid processors, which are affected by the vulnerabilities listed below.",Remotely exploitable/low skill level to exploit.,"CVE-2017-12718,CVE-2017-12722", MQX RTOS,CVSS v3 8.1,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",NXP Semiconductors MQX RTOS, NXP Semiconductors,"Classic Buffer Overflow, Out-of-Bounds Read","October 12, 2017",ICSA-17-285-04
"The following versions of MultiFLEX Controller, a water treatment controller, are affected:",Remotely exploitable/low skill level to exploit.,"CVE-2017-14013,CVE-2017-14007,CVE-2017-14011,CVE-2017-14009,CVE-2017-14005", MultiFLEX M10a Controller,CVSS v3 8.8,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",ProMinent MultiFLEX M10a Controller, ProMinent," Client-Side Enforcement of Server-Side Security, Insufficient Session Expiration, Cross-Site Request Forgery, Information Exposure, and Unverified Password Change","October 12, 2017",ICSA-17-285-01
"The following versions of LEVI Studio HMI Editor, an HMI programming software product, are affected:",Remotely exploitable/low skill level to exploit.,CVE-2017-13999, LeviStudio HMI Editor,CVSS v3 7.5,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.","WECON Technology Co., Ltd. LeviStudio HMI Editor"," WECON Technology Co., Ltd. (WECON)", Stack-based Buffer Overflow,"October 12, 2017",ICSA-17-285-02
"The following versions of Movicon HMI, an HMI software platform, are affected:", Remotely exploitable/low skill level to exploit.,"CVE-2017-14017,CVE-2017-14019", Movicon SCADA/HMI,CVSS v3 6.8,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Progea Movicon SCADA/HMI, Progea," Uncontrolled Search Path Element, Unquoted Search Path or Element","October 17, 2017",ICSA-17-290-01
"Boston Scientific is a US-based company that is headquartered in Marlborough, Massachusetts.",Researchers Jonathan Butts and Billy Rios of Whitescope have identified two vulnerabilities in Boston Scientific’s ZOOM LATITUDE Programmer/Recorder/Monitor (PRM) – Model 3120. Boston Scientific has provided compensating controls to reduce the risk of exploitation.,"CVE-2017-14014,CVE-2017-14012",Successful exploitation of these vulnerabilities may allow an attacker with physical access to obtain patient health information (PHI). The affected device is not designed to be network accessible.,,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Boston Scientific ZOOM LATITUDE PRM Vulnerabilities,The following ZOOM LATITUDE PRM versions are affected:,Impact to individual organizations depends on many factors that are unique to each organization. NCCIC/ICS-CERT recommends that organizations evaluate the impact of these vulnerabilities based on their operational environment and specific clinical usage.,"October 19, 2017",ICSMA-17-292-01
"The following versions of SpiderControl MicroBrowser, a touch panel operating system, are affected:",Remotely exploitable/low skill level to exploit,CVE-2017-14010, MicroBrowser,CVSS v3 8.8,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",SpiderControl MicroBrowser, SpiderControl, Uncontrolled Search Path Element,"October 19, 2017",ICSA-17-292-01
Rockwell Automation reports that the vulnerability affects the following wireless access point/ workgroup bridge products:,Public exploits are available.,CVE-2017-13082, Stratix 5100 Wireless Access Point/Workgroup Bridge,CVSS v3 6.9,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Rockwell Automation Stratix 5100, Rockwell Automation, Reusing a nonce,"October 26, 2017",ICSA-17-299-02
Trihedral Engineering Limited reports that the vulnerability affects the following versions of the VTScada HMI and SCADA software:,Low skill level to exploit.,"CVE-2017-14031,CVE-2017-14029", VTScada,CVSS v3 7.8,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Trihedral Engineering Limited VTScada, Trihedral Engineering Limited," Improper Access Control, Uncontrolled Search Path Element","October 31, 2017",ICSA-17-304-02
"The following versions of FOX515T, a communication interface, are affected:",Low skill level to exploit.,CVE-2017-14025, FOX515T,CVSS v3 6.2,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",ABB FOX515T, ABB, Improper Input Validation,"October 31, 2017",ICSA-17-304-01
"The following versions of JetNet, an Ethernet switch, are affected:",Remotely exploitable/low skill level to exploit.,"CVE-2017-14021,CVE-2017-14027", JetNet,CVSS v3 9.8,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Korenix JetNet, Korenix," Use of Hard-coded Cryptographic Key, Use of Hard-coded Credentials","October 26, 2017",ICSA-17-299-01
"The following versions of WebAccess, an HMI platform, are affected:",Remotely exploitable/low skill level to exploit.,"CVE-2017-14016,CVE-2017-12719", WebAccess,CVSS v3 7.3,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Advantech WebAccess, Advantech," Stack-based Buffer Overflow, Untrusted Pointer Dereference","November 02, 2017",ICSA-17-306-02
"The following versions of SIMATIC PCS 7, a distributed control system, are affected:",Remotely exploitable/low skill level to exploit.,CVE-2017-6867, SIMATIC PCS 7,CVSS v3 4.9,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Siemens SIMATIC PCS 7, Siemens, Improper Input Validation,"November 02, 2017 | Last revised: December 06, 2017",ICSA-17-306-01
"The following versions of InduSoft Web Studio and InTouch Machine Edition, an HMI, are affected:",Remotely exploitable/low skill level to exploit. Public exploits are available.,CVE-2017-14024," InduSoft Web Studio, InTouch Machine Edition",CVSS v3 9.8,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Schneider Electric InduSoft Web Studio and InTouch Machine Edition, Schneider Electric, Stack-based Buffer Overflow,"November 09, 2017",ICSA-17-313-02
Successful exploitation of this vulnerability could allow an attacker to execute arbitrary code on the system., AutomationDirect,CVE-2017-14020, Uncontrolled Search Path Element,CVSS v3 6.7,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.","AutomationDirect CLICK, C-More, C-More Micro, GS Drives, and SL-Soft SOLO"," CLICK, C-More, C-More Micro, GS Drives, SL-Soft SOLO.",The following AutomationDirect products are affected:,"November 09, 2017 | Last revised: November 13, 2017",ICSA-17-313-01
