Date,CVSS_Severity,id,summary
"April 28, 2017; 12:59:01 PM -04:00","
                            ,V3:, ,6.1 MEDIUM,
                        ,
                            ,V2:, ,4.3 MEDIUM,
                        ",CVE-2017-2136,Cross-site scripting vulnerability in WP Statistics version 12.0.4 and earlier allows remote attackers to inject arbitrary web script or HTML via specially crafted HTTP Referer headers.
"April 11, 2017; 12:59:00 PM -04:00","
                            ,V3:, ,7.5 HIGH,
                        ,
                            ,V2:, ,5.0 MEDIUM,
                        ",CVE-2016-4483,"The xmlBufAttrSerializeTxtContent function in xmlsave.c in libxml2 allows context-dependent attackers to cause a denial of service (out-of-bounds read and application crash) via a non-UTF-8 attribute value, related to serialization.  NOTE: this vulnerability may be a duplicate of CVE-2016-3627."
"March 28, 2017; 09:59:01 PM -04:00","
                            ,V3:, ,8.8 HIGH,
                        ,
                            ,V2:, ,6.8 MEDIUM,
                        ",CVE-2017-2688,"The integrated web server in Siemens RUGGEDCOM ROX I (all versions) at port 10000/TCP could allow remote attackers to perform actions with the privileges of an authenticated user, provided the targeted user has an active session and is induced into clicking on a malicious link or into visiting a malicious website, aka CSRF."
"March 16, 2017; 08:59:00 PM -04:00","
                            ,V3:, ,7.0 HIGH,
                        ,
                            ,V2:, ,6.9 MEDIUM,
                        ",CVE-2017-0005,"The Graphics Device Interface (GDI) in Microsoft Windows Vista SP2; Windows Server 2008 SP2 and R2 SP1; Windows 7 SP1; Windows 8.1; Windows Server 2012 Gold and R2; Windows RT 8.1; and Windows 10 Gold, 1511, and 1607 allows local users to gain privileges via a crafted application, aka ""Windows GDI Elevation of Privilege Vulnerability."" This vulnerability is different from those described in CVE-2017-0001, CVE-2017-0025, and CVE-2017-0047."
"February 28, 2017; 02:59:00 PM -05:00","
                            ,V3:, ,7.3 HIGH,
                        ,
                            ,V2:, ,9.3 HIGH,
                        ",CVE-2017-5682,"Intel PSET Application Install wrapper of Intel Parallel Studio XE, Intel System Studio, Intel VTune Amplifier, Intel Inspector, Intel Advisor, Intel MPI Library, Intel Trace Analyzer and Collector, Intel Integrated Performance Primitives, Cryptography for Intel Integrated Performance Primitives, Intel Math Kernel Library, Intel Data Analytics Acceleration Library, and Intel Threading Building Blocks before 2017 Update 2 allows an attacker to launch a process with escalated privileges."
"February 15, 2017; 02:59:00 PM -05:00","
                            ,V3:, ,7.8 HIGH,
                        ,
                            ,V2:, ,6.8 MEDIUM,
                        ",CVE-2016-8683,"The ReadPCXImage function in coders/pcx.c in GraphicsMagick 1.3.25 allows remote attackers to have unspecified impact via a crafted image, which triggers a memory allocation failure and a ""file truncation error for corrupt file."""
"February 13, 2017; 04:59:02 PM -05:00","
                            ,V3:, ,7.8 HIGH,
                        ,
                            ,V2:, ,2.1 LOW,
                        ",CVE-2017-5153,"An issue was discovered in OSIsoft PI Coresight 2016 R2 and earlier versions, and PI Web API 2016 R2 when deployed using the PI AF Services 2016 R2 integrated install kit. An information exposure through server log files vulnerability has been identified, which may allow service account passwords to become exposed for the affected services, potentially leading to unauthorized shutdown of the affected PI services as well as potential reuse of domain credentials."
"February 13, 2017; 04:59:02 PM -05:00","
                            ,V3:, ,6.7 MEDIUM,
                        ,
                            ,V2:, ,4.4 MEDIUM,
                        ",CVE-2016-9360,"An issue was discovered in General Electric (GE) Proficy HMI/SCADA iFIX Version 5.8 SIM 13 and prior versions, Proficy HMI/SCADA CIMPLICITY Version 9.0 and prior versions, and Proficy Historian Version 6.0 and prior versions. An attacker may be able to retrieve user passwords if he or she has access to an authenticated session."
"February 13, 2017; 04:59:01 PM -05:00","
                            ,V3:, ,7.8 HIGH,
                        ,
                            ,V2:, ,4.6 MEDIUM,
                        ",CVE-2016-8566,"An issue was discovered in Siemens SICAM PAS before 8.00. Because of Storing Passwords in a Recoverable Format, an authenticated local attacker with certain privileges could possibly reconstruct the passwords of users for accessing the database."
"February 13, 2017; 04:59:00 PM -05:00","
                            ,V3:, ,6.4 MEDIUM,
                        ,
                            ,V2:, ,5.5 MEDIUM,
                        ",CVE-2016-8353,An issue was discovered in OSIsoft PI Web API 2015 R2 (Version 1.5.1). There is a weakness in this product that may allow an attacker to access the PI system without the proper permissions.
"February 13, 2017; 04:59:00 PM -05:00","
                            ,V3:, ,7.5 HIGH,
                        ,
                            ,V2:, ,5.0 MEDIUM,
                        ",CVE-2016-5786,"An issue was discovered in OmniMetrix OmniView, Version 1.2. The OmniView web application transmits credentials with the HTTP protocol, which could be sniffed by an attacker that may result in the compromise of account credentials."
"January 30, 2017; 04:59:01 PM -05:00","
                            ,V3:, ,5.3 MEDIUM,
                        ,
                            ,V2:, ,4.9 MEDIUM,
                        ",CVE-2016-2517,"NTP before 4.2.8p7 and 4.3.x before 4.3.92 allows remote attackers to cause a denial of service (prevent subsequent authentication) by leveraging knowledge of the controlkey or requestkey and sending a crafted packet to ntpd, which changes the value of trustedkey, controlkey, or requestkey.  NOTE: this vulnerability exists because of a CVE-2016-2516 regression."
"January 12, 2017; 03:59:01 PM -05:00","
                            ,V3:, ,7.0 HIGH,
                        ,
                            ,V2:, ,7.6 HIGH,
                        ",CVE-2016-8458,"An elevation of privilege vulnerability in the Synaptics touchscreen driver could enable a local malicious application to execute arbitrary code within the context of the kernel. This issue is rated as High because it first requires compromising a privileged process. Product: Android. Versions: Kernel-3.10, Kernel-3.18. Android ID: A-31968442."
"December 16, 2016; 10:59:00 PM -05:00","
                            ,V3:, ,7.5 HIGH,
                        ,
                            ,V2:, ,7.8 HIGH,
                        ",CVE-2016-9158,"A vulnerability has been identified in SIMATIC S7-300 CPU family, SIMATIC S7-400 V6 and earlier CPU family, SIMATIC S7-400 V7 CPU family. Specially crafted packets sent to port 80/tcp could cause the affected devices to go into defect mode. A cold restart is required to recover the system. This vulnerability affects all SIMATIC S7-300 PN CPUs, and all SIMATIC S7-400 PN V6 and V7 CPUs."
"December 03, 2016; 01:59:04 AM -05:00","
                            ,V3:, ,5.3 MEDIUM,
                        ,
                            ,V2:, ,5.0 MEDIUM,
                        ",CVE-2016-9799,"In BlueZ 5.42, a buffer overflow was observed in ""pklg_read_hci"" function in ""btsnoop.c"" source file. This issue can be triggered by processing a corrupted dump file and will result in btmon crash."
"October 16, 2016; 05:59:11 PM -04:00","
                            ,V3:, ,4.4 MEDIUM,
                        ,
                            ,V2:, ,3.6 LOW,
                        ",CVE-2016-7097,"The filesystem implementation in the Linux kernel through 4.8.2 preserves the setgid bit during a setxattr call, which allows local users to gain group privileges by leveraging the existence of a setgid program with restrictions on execute permissions."
"October 05, 2016; 04:59:05 PM -04:00","
                            ,V3:, ,7.5 HIGH,
                        ,
                            ,V2:, ,7.8 HIGH,
                        ",CVE-2016-6385,"Memory leak in the Smart Install client implementation in Cisco IOS 12.2 and 15.0 through 15.2 and IOS XE 3.2 through 3.8 allows remote attackers to cause a denial of service (memory consumption) via crafted image-list parameters, aka Bug ID CSCuy82367."
"September 24, 2016; 06:59:02 AM -04:00","
                            ,V3:, ,8.8 HIGH,
                        ,
                            ,V2:, ,7.2 HIGH,
                        ",CVE-2016-5793,Unquoted Windows search path vulnerability in Moxa Active OPC Server before 2.4.19 allows local users to gain privileges via a Trojan horse executable file in the %SYSTEMDRIVE% directory.
"September 21, 2016; 10:25:16 AM -04:00","
                            ,V3:, ,6.5 MEDIUM,
                        ,
                            ,V2:, ,4.3 MEDIUM,
                        ",CVE-2016-5844,Integer overflow in the ISO parser in libarchive before 3.2.1 allows remote attackers to cause a denial of service (application crash) via a crafted ISO file.
"September 20, 2016; 10:15:05 AM -04:00","
                            ,V3:, ,7.5 HIGH,
                        ,
                            ,V2:, ,5.0 MEDIUM,
                        ",CVE-2015-8919,The lha_read_file_extended_header function in archive_read_support_format_lha.c in libarchive before 3.2.0 allows remote attackers to cause a denial of service (out-of-bounds heap) via a crafted (1) lzh or (2) lha file.
"September 07, 2016; 04:59:01 PM -04:00","
                            ,V3:, ,6.5 MEDIUM,
                        ,
                            ,V2:, ,4.0 MEDIUM,
                        ",CVE-2016-5404,"The cert_revoke command in FreeIPA does not check for the ""revoke certificate"" permission, which allows remote authenticated users to revoke arbitrary certificates by leveraging the ""retrieve certificate"" permission."
"August 10, 2016; 10:59:02 AM -04:00","
                            ,V3:, ,9.8 CRITICAL,
                        ,
                            ,V2:, ,7.5 HIGH,
                        ",CVE-2016-5408,Stack-based buffer overflow in the munge_other_line function in cachemgr.cgi in the squid package before 3.1.23-16.el6_8.6 in Red Hat Enterprise Linux 6 allows remote attackers to execute arbitrary code via unspecified vectors.  NOTE: this vulnerability exists because of an incorrect fix for CVE-2016-4051.
"August 07, 2016; 06:59:12 AM -04:00","
                            ,V3:, ,9.1 CRITICAL,
                        ,
                            ,V2:, ,6.4 MEDIUM,
                        ",CVE-2016-5116,"gd_xbm.c in the GD Graphics Library (aka libgd) before 2.2.0, as used in certain custom PHP 5.5.x configurations, allows context-dependent attackers to obtain sensitive information from process memory or cause a denial of service (stack-based buffer under-read and application crash) via a long name."
"August 04, 2016; 09:59:00 PM -04:00","
                            ,V3:, ,4.3 MEDIUM,
                        ,
                            ,V2:, ,4.3 MEDIUM,
                        ",CVE-2016-2830,"Mozilla Firefox before 48.0 and Firefox ESR 45.x before 45.3 preserve the network connection used for favicon resource retrieval after the associated browser window is closed, which makes it easier for remote web servers to track users by observing network traffic from multiple IP addresses."
"July 21, 2016; 10:59:54 PM -04:00","
                            ,V3:, ,7.8 HIGH,
                        ,
                            ,V2:, ,6.9 MEDIUM,
                        ",CVE-2016-4633,Intel Graphics Driver in Apple OS X before 10.11.6 allows attackers to execute arbitrary code in a privileged context or cause a denial of service (memory corruption) via a crafted app.
"July 19, 2016; 06:59:02 PM -04:00","
                            ,V3:, ,6.5 MEDIUM,
                        ,
                            ,V2:, ,4.0 MEDIUM,
                        ",CVE-2016-5653,Multiple SQL injection vulnerabilities in Misys FusionCapital Opics Plus allow remote authenticated users to execute arbitrary SQL commands via the (1) ID or (2) Branch parameter.
"July 06, 2016; 10:59:03 AM -04:00","
                            ,V3:, ,6.1 MEDIUM,
                        ,
                            ,V2:, ,4.3 MEDIUM,
                        ",CVE-2016-4508,Cross-site scripting (XSS) vulnerability in Rexroth Bosch BLADEcontrol-WebVIS 3.0.2 and earlier allows remote attackers to inject arbitrary web script or HTML via unspecified vectors.
"July 02, 2016; 10:59:03 AM -04:00","
                            ,V3:, ,4.3 MEDIUM,
                        ,
                            ,V2:, ,4.3 MEDIUM,
                        ",CVE-2016-0398,IBM Cognos Analytics (CA) 11.0 before 11.0.2 allows remote attackers to conduct content-spoofing attacks via a crafted URL.
"June 19, 2016; 04:59:08 PM -04:00","
                            ,V3:, ,7.8 HIGH,
                        ,
                            ,V2:, ,9.3 HIGH,
                        ",CVE-2016-1861,"The NVIDIA Graphics Drivers subsystem in Apple OS X before 10.11.5 allows attackers to execute arbitrary code in a privileged context or cause a denial of service (memory corruption) via a crafted app, a different vulnerability than CVE-2016-1846."
"June 09, 2016; 12:59:07 PM -04:00","
                            ,V3:, ,7.1 HIGH,
                        ,
                            ,V2:, ,5.8 MEDIUM,
                        ",CVE-2016-4449,"XML external entity (XXE) vulnerability in the xmlStringLenDecodeEntities function in parser.c in libxml2 before 2.9.4, when not in validating mode, allows context-dependent attackers to read arbitrary files or cause a denial of service (resource consumption) via unspecified vectors."
"May 30, 2016; 09:59:11 PM -04:00","
                            ,V3:, ,9.8 CRITICAL,
                        ,
                            ,V2:, ,10.0 HIGH,
                        ",CVE-2016-4521,"Sixnet BT-5xxx and BT-6xxx M2M devices before 3.8.21 and 3.9.x before 3.9.8 have hardcoded credentials, which allows remote attackers to obtain access via unspecified vectors."
"May 23, 2016; 06:59:13 AM -04:00","
                            ,V3:, ,7.8 HIGH,
                        ,
                            ,V2:, ,7.2 HIGH,
                        ",CVE-2016-4805,"Use-after-free vulnerability in drivers/net/ppp/ppp_generic.c in the Linux kernel before 4.5.2 allows local users to cause a denial of service (memory corruption and system crash, or spinlock) or possibly have unspecified other impact by removing a network namespace, related to the ppp_register_net_channel and ppp_unregister_channel functions."
"May 17, 2016; 10:08:02 AM -04:00","
                            ,V3:, ,7.5 HIGH,
                        ,
                            ,V2:, ,5.0 MEDIUM,
                        ",CVE-2016-3627,"The xmlStringGetNodeList function in tree.c in libxml2 2.9.3 and earlier, when used in recovery mode, allows context-dependent attackers to cause a denial of service (infinite recursion, stack consumption, and application crash) via a crafted XML document."
"May 11, 2016; 09:59:14 PM -04:00","
                            ,V3:, ,4.2 MEDIUM,
                        ,
                            ,V2:, ,4.4 MEDIUM,
                        ",CVE-2016-4499,Heap-based buffer overflow in Panasonic FPWIN Pro 5.x through 7.x before 7.130 allows local users to cause a denial of service (application crash) via unspecified vectors.
"May 05, 2016; 02:59:04 PM -04:00","
                            ,V3:, ,5.5 MEDIUM,
                        ,
                            ,V2:, ,5.8 MEDIUM,
                        ",CVE-2016-3715,The EPHEMERAL coder in ImageMagick before 6.9.3-10 and 7.x before 7.0.1-1 allows remote attackers to delete arbitrary files via a crafted image.
"April 30, 2016; 01:59:01 PM -04:00","
                            ,V3:, ,8.8 HIGH,
                        ,
                            ,V2:, ,10.0 HIGH,
                        ",CVE-2016-2805,Unspecified vulnerability in the browser engine in Mozilla Firefox ESR 38.x before 38.8 allows remote attackers to cause a denial of service (memory corruption and application crash) or possibly execute arbitrary code via unknown vectors.
"April 25, 2016; 06:59:00 AM -04:00","
                            ,V3:, ,5.9 MEDIUM,
                        ,
                            ,V2:, ,4.3 MEDIUM,
                        ",CVE-2016-4006,"epan/proto.c in Wireshark 1.12.x before 1.12.11 and 2.0.x before 2.0.3 does not limit the protocol-tree depth, which allows remote attackers to cause a denial of service (stack memory consumption and application crash) via a crafted packet."
"April 21, 2016; 07:00:10 AM -04:00","
                            ,V3:, ,8.6 HIGH,
                        ,
                            ,V2:, ,7.5 HIGH,
                        ",CVE-2016-2293,The AXM-NET module in Accuenergy Acuvim II NET Firmware 3.08 and Acuvim IIR NET Firmware 3.08 allows remote attackers to discover settings via a direct request to an unspecified URL.
"April 15, 2016; 10:59:00 AM -04:00","
                            ,V3:, ,9.8 CRITICAL,
                        ,
                            ,V2:, ,7.5 HIGH,
                        ",CVE-2010-5325,Heap-based buffer overflow in the unhtmlify function in foomatic-rip in foomatic-filters before 4.0.6 allows remote attackers to cause a denial of service (memory corruption and crash) or possibly execute arbitrary code via a long job title.
"April 13, 2016; 11:59:01 AM -04:00","
                            ,V3:, ,9.8 CRITICAL,
                        ,
                            ,V2:, ,7.5 HIGH,
                        ",CVE-2015-7545,"The (1) git-remote-ext and (2) unspecified other remote helper programs in Git before 2.3.10, 2.4.x before 2.4.10, 2.5.x before 2.5.4, and 2.6.x before 2.6.1 do not properly restrict the allowed protocols, which might allow remote attackers to execute arbitrary code via a URL in a (a) .gitmodules file or (b) unknown other sources in a submodule."
"April 07, 2016; 05:59:01 PM -04:00","
                            ,V3:, ,9.8 CRITICAL,
                        ,
                            ,V2:, ,7.5 HIGH,
                        ",CVE-2016-0729,"Multiple buffer overflows in (1) internal/XMLReader.cpp, (2) util/XMLURL.cpp, and (3) util/XMLUri.cpp in the XML Parser library in Apache Xerces-C before 3.1.3 allow remote attackers to cause a denial of service (segmentation fault or memory corruption) or possibly execute arbitrary code via a crafted document."
"March 23, 2016; 09:59:13 PM -04:00","
                            ,V3:, ,7.8 HIGH,
                        ,
                            ,V2:, ,9.3 HIGH,
                        ",CVE-2016-1743,"The Intel driver in the Graphics Drivers subsystem in Apple OS X before 10.11.4 allows attackers to execute arbitrary code in a privileged context or cause a denial of service (memory corruption) via a crafted app, a different vulnerability than CVE-2016-1744."
"March 13, 2016; 02:59:31 PM -04:00","
                            ,V3:, ,8.8 HIGH,
                        ,
                            ,V2:, ,6.8 MEDIUM,
                        ",CVE-2016-2792,"The graphite2::Slot::getAttr function in Slot.cpp in Graphite 2 before 1.3.6, as used in Mozilla Firefox before 45.0 and Firefox ESR 38.x before 38.7, allows remote attackers to cause a denial of service (buffer over-read) or possibly have unspecified other impact via a crafted Graphite smart font, a different vulnerability than CVE-2016-2800."
